Amount,TransactionAmount,AnomalyScore,FraudIndicator,Hour,DayOfWeek,Category_Food,Category_Online,Category_Other,Category_Retail,Category_Travel
55.53033442986919,79.41360746377397,0.6866994638180963,0,0,5,0,0,1,0,0
12.881180192784145,12.053087153568082,0.0817488708011465,0,1,5,0,1,0,0,0
50.17632151706568,33.31035719105734,0.0238568301053087,0,2,5,0,0,0,0,1
41.63400105303006,46.12111728963105,0.8769943477359176,0,3,5,0,0,0,0,1
78.12285326574603,54.05161801340517,0.0340587726731107,0,4,5,0,0,1,0,0
86.94708413376785,34.54513807247706,0.1211728992013775,0,5,5,1,0,0,0,0
51.1470964781812,55.383112817522296,0.1098916756547063,0,6,5,1,0,0,0,0
56.16398430834813,17.855877857196635,0.7805342072486868,0,7,5,0,0,0,0,1
37.182411723100415,75.65994449829373,0.0104709053716154,1,8,5,0,0,0,1,0
17.245409041786953,67.93187884012292,0.0293762699375884,0,9,5,0,0,1,0,0
86.18094790838266,23.89562271190145,0.0834553954788118,0,10,5,0,0,1,0,0
95.55400891993546,17.797222024189402,0.4517349450635481,0,11,5,1,0,0,0,0
47.13851441157395,64.78165788186897,0.4448031201651125,0,12,5,0,0,1,0,0
98.80425008117196,43.691459478352925,0.9973396329012194,0,13,5,0,0,0,0,1
99.83263446243002,35.45084414311964,0.8279264002423734,0,14,5,0,0,1,0,0
20.735039147246727,47.62737483292299,0.4559473695840319,0,15,5,0,0,1,0,0
44.54511885107208,83.80043412877465,0.0786169688869532,0,16,5,0,0,1,0,0
27.05493666999777,67.01973545243015,0.5328202953043202,0,17,5,0,0,0,0,1
13.615519156393288,79.67952921186595,0.2520122859524184,1,18,5,1,0,0,0,0
20.80228963510888,23.12632324762183,0.2791586079368224,0,19,5,0,0,0,0,1
36.04360521851923,60.70535435436163,0.6759407120991201,0,20,5,0,0,0,0,1
99.1004273987159,53.84670686845873,0.1242284781235212,0,21,5,0,1,0,0,0
85.4201781893225,15.579538194663694,0.1953263896357612,0,22,5,0,0,0,0,1
84.05328458627297,13.386777836538998,0.6172898016719134,0,23,5,0,0,0,1,0
50.258612452465634,98.4640558012606,0.2443530379310863,0,0,6,0,0,0,0,1
52.593928648769634,95.19370554798026,0.4870702896864038,0,1,6,0,0,1,0,0
20.48932094343152,77.5092196540028,0.4227359977610908,0,2,6,0,0,1,0,0
12.397442736592344,51.77113770450813,0.838064383449069,0,3,6,0,1,0,0,0
25.334803493141827,73.08040768249539,0.4633405713676668,0,4,6,0,0,1,0,0
70.07512697850342,83.8842181328395,0.6466000102947055,0,5,6,0,0,0,1,0
92.6193029775784,59.9638046074686,0.0286451504049212,0,6,6,1,0,0,0,0
77.7269441692719,64.82555289198555,0.1139557066719609,0,7,6,0,1,0,0,0
59.3509900357369,16.31638922256401,0.7904919847795615,0,8,6,0,0,1,0,0
61.34763595275774,74.89233384628318,0.496141397087933,0,9,6,0,0,0,1,0
60.47401632791208,63.48108383812917,0.0234248603939667,0,10,6,0,1,0,0,0
42.20773347952953,55.0748944700021,0.1056184269218054,0,11,6,0,0,0,1,0
